OrderID,CustomerName,City,Category,Quantity,Price,PaymentMode,OrderDate
ORD1019,Arjun Kapoor,Chennai,Furniture,4.0,999,Credit Card,15-01-2026
ORD1003,Aman Verma,DELHI,Clothing,5.0,2999,UPI,
,,,,,,,
ORD1028,Vikram Rao,Bangalore,Clothing,1.0,499,COD,2026-01-15
ORD1046,Sneha Patel,Chennai,,-1.0,"1,999",COD,2026-13-40
ORD1033,Rohit Gupta,mumbai,Groceries,1.0,2999,COD,15-01-2026
ORD1034,Arjun Kapoor,DELHI,Electronics,1.0,,Debit Card,2026-01-15
ORD1051,Aman Verma,Kolkata,Clothing,5.0,2999,UPI,
ORD1044,Rohit Gupta,Delhi,Books,4.0,1499,Credit Card,2026-03-05
ORD1018,Priya Singh,DELHI,,5.0,2999,credit card,2026-13-40
ORD1056,Divya Iyer,DELHI,Furniture,3.0,499,credit card,2026-01-15
ORD1016,Anjali Nair,Bangalore,Electronics,2.0,2999,Debit Card,2026/02/20
ORD1014,Priya Singh,Pune,Books,3.0,,Debit Card,
ORD1053,Sneha Patel,DELHI,,-1.0,999,Credit Card,2026/02/20
ORD1029,Aman Verma,Pune,Electronics,,2999,Credit Card,15-01-2026
ORD1031,Rohit Gupta,pune ,,-1.0,499,Debit Card,2026/02/20
ORD1022,Karan Mehta,pune ,Groceries,5.0,"1,999",UPI,2026-13-40
ORD1038,Rohit Gupta,mumbai,Electronics,-1.0,1499,credit card,2026-03-05
ORD1021,Priya Singh,Chennai,Furniture,1.0,1499,Cash on Delivery,
ORD1040,Aman Verma,Mumbai,Books,-1.0,999,UPI,15-01-2026
ORD1030,Karan Mehta,pune ,Clothing,3.0,2999,COD,2026-03-05
ORD1042,Sneha Patel,Pune,Clothing,,199,Cash on Delivery,
ORD1037,Arjun Kapoor,Kolkata,Books,2.0,"1,999",Cash on Delivery,2026-03-05
ORD1011,Sneha Patel,Pune,,,999,Credit Card,2026/02/20
ORD1036,Rohit Gupta,Bangalore,,4.0,499,COD,15-01-2026
ORD1052,Aman Verma,Chennai,,5.0,2999,COD,2026/02/20
ORD1013,Aman Verma,Kolkata,,2.0,2999,Debit Card,15-01-2026
ORD1023,Aman Verma,pune ,Groceries,,,credit card,2026-01-15
ORD1032,Anjali Nair,Bengaluru,Books,5.0,1499,UPI,15-01-2026
ORD1059,Sneha Patel,mumbai,Clothing,3.0,199,UPI,2026-13-40
ORD1002,Aman Verma,pune ,Electronics,5.0,1499,UPI,2026-01-15
ORD1017,Rohit Gupta,Pune,Books,-1.0,1499,Credit Card,2026/02/20
ORD1060,Divya Iyer,Delhi,Groceries,3.0,2999,Credit Card,2026-13-40
ORD1057,Rohit Gupta,Bengaluru,Groceries,2.0,1499,COD,2026-13-40
ORD1004,Rohit Gupta,pune ,Books,2.0,1499,COD,2026/02/20
ORD1003,Aman Verma,DELHI,Clothing,5.0,2999,UPI,
ORD1041,Rohit Gupta,DELHI,Furniture,4.0,499,Cash on Delivery,15-01-2026
ORD1054,Anjali Nair,Delhi,,-1.0,999,Cash on Delivery,2026/02/20
ORD1055,Aman Verma,Mumbai,Books,5.0,2999,UPI,2026-01-15
ORD1049,Karan Mehta,pune ,Furniture,2.0,199,COD,2026-01-15
ORD1010,Rohit Gupta,Bangalore,Electronics,,499,UPI,2026-03-05
ORD1035,Rohit Gupta,mumbai,Electronics,,999,UPI,
ORD1050,Priya Singh,mumbai,Furniture,1.0,,Credit Card,2026-03-05
ORD1025,Sneha Patel,pune ,Clothing,5.0,199,Debit Card,2026/02/20
ORD1006,Rohit Gupta,Bengaluru,Electronics,1.0,1499,UPI,2026/02/20
ORD1051,Aman Verma,Kolkata,Clothing,5.0,2999,UPI,
ORD1020,Divya Iyer,Pune,Electronics,,199,UPI,15-01-2026
ORD1007,Vikram Rao,Kolkata,Groceries,,199,Debit Card,2026-03-05
ORD1012,Vikram Rao,DELHI,,3.0,,Debit Card,2026-13-40
ORD1001,Aman Verma,Mumbai,,3.0,499,Credit Card,15-01-2026
ORD1045,Riya Sharma,Delhi,Books,1.0,1499,credit card,2026-03-05
ORD1008,Divya Iyer,mumbai,Books,1.0,2999,credit card,2026-13-40
ORD1049,Karan Mehta,pune ,Furniture,2.0,199,COD,2026-01-15
ORD1005,Riya Sharma,Delhi,,4.0,999,credit card,15-01-2026
ORD1039,Anjali Nair,Pune,,1.0,,Debit Card,2026-13-40
ORD1040,Aman Verma,Mumbai,Books,-1.0,999,UPI,15-01-2026
ORD1042,Sneha Patel,Pune,Clothing,,199,Cash on Delivery,
ORD1027,Divya Iyer,Mumbai,Furniture,3.0,1499,UPI,2026-01-15
ORD1043,Aman Verma,Mumbai,,5.0,"1,999",UPI,2026-01-15
ORD1047,Karan Mehta,Delhi,Clothing,3.0,499,UPI,
,,,,,,,
ORD1009,Arjun Kapoor,Bengaluru,Furniture,2.0,,UPI,2026-01-15
ORD1045,Riya Sharma,Delhi,Books,1.0,1499,credit card,2026-03-05
ORD1015,Rohit Gupta,Bengaluru,Electronics,2.0,"1,999",UPI,2026/02/20
ORD1058,Sneha Patel,Kolkata,,5.0,199,Debit Card,
ORD1024,Sneha Patel,Chennai,Clothing,4.0,199,Debit Card,2026-13-40
ORD1026,Divya Iyer,Kolkata,Clothing,2.0,999,Credit Card,
ORD1048,Divya Iyer,Mumbai,,3.0,199,UPI,
